"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","warranty_type","warranty_duration","warranty_unit","warranty","warranty_label","images","downloadable_files","tax:pwb-brand","tax:collection","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:pa_color","attribute_data:pa_color","attribute_default:pa_color","attribute:pa_size","attribute_data:pa_size","attribute_default:pa_size"
"Hahar","hahar1","561","&nbsp;
<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Dry-tech ผ้าเนื้อนิ่ม เหมาะกับอากาศเมืองไทย แห้งง่าย ระบายอากาศดี</strong></span></h1>","<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Dry-tech ผ้าเนื้อนิ่ม เหมาะกับอากาศเมืองไทย แห้งง่าย ระบายอากาศดี</strong></span></h1>","publish","0","2017-07-06 10:12:00","1","open","P0001","no","no","","590","","500.","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00005-4.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00012.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00007.jpg","","Hahar","Collections > Casual|Collections|Collections > Party","variable","","Gay|Gay > Polo shirt|Gay > T-shirt","Polo shirt|T-shirt","","White","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar2","837","<h1><strong><span style=""color: #999999;"">Cotton 100% No.32  ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย  ไม่ขึ้นขุ่ย</span></strong></h1>
<h1></h1>","<h1><span style=""color: #999999;"">Cotton 100% No.32  ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย  ไม่ขึ้นขุ่ย</span></h1>","publish","0","2017-07-06 11:22:14","1","open","T0004","no","no","","490","","500.","","","","","","instock","no","no","none","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00015-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00022.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00024.jpg","","Hahar","Collections > Casual|Collections|Collections > Party","variable","","Gay|Gay > T-shirt","Polo shirt|T-shirt","","Black","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar3","839","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>
<h1><span style=""color: #999999;""> </span></h1>
&nbsp;","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>
<h1><span style=""color: #999999;""><strong> </strong></span></h1>
<h1></h1>
&nbsp;","publish","0","2017-07-06 11:30:55","1","open","T0005","no","no","","390","","500.","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00027-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00032.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00038.jpg","","Hahar","Collections > Casual|Collections|Collections > Party","variable","","Gay|Gay > T-shirt","T-shirt","","White","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar4","841","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>
&nbsp;","publish","0","2017-07-06 11:35:30","1","open","T0007","no","no","","490","","500.","","","","","","instock","no","no","none","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00049-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00054.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00051.jpg","","Hahar","Collections > Casual|Collections|Collections > Party","variable","","Gay|Gay > T-shirt","T-shirt","","Gray","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar6","845","<h2><span style=""color: #999999;""><strong>ผลิตจากผ้า Dry-tech ผ้าเนื้อนิ่ม เหมาะกับอากาศเมืองไทย แห้งง่าย ระบายอากาศดี</strong></span></h2>","<h2><span style=""color: #999999;""><strong>ผลิตจากผ้า Dry-tech ผ้าเนื้อนิ่ม เหมาะกับอากาศเมืองไทย แห้งง่าย ระบายอากาศดี</strong></span></h2>","publish","0","2017-07-06 11:41:04","1","open","P0002","no","no","","590","","","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00071-2.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00075.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00076.jpg","","Hahar","Collections > Casual|Collections|Collections > Party|Collections > sport","variable","","Gay|Gay > T-shirt","T-shirt","","Black","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar6-2","854","<h1><span style=""color: #999999;""><strong>เสื้อเชิ้ตแขนสั้น ปกและแขนรัดโปโล แตกต่างอย่างลงตัว ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย</strong></span></h1>","<h1><span style=""color: #999999;""><strong>เสื้อเชิ้ตแขนสั้น ปกและแขนรัดโปโล แตกต่างอย่างลงตัว ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย</strong></span></h1>","publish","0","2017-07-06 11:55:31","1","open","SPS0001","no","no","","1290","","500.","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00079-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00083.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00085.jpg","","Hahar","Collections > Casual|Collections|Collections > Office|Collections > Party","variable","","Gay|Gay > Shirt","Shirt","","Blue","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar7","856","<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</strong></span></h1>","<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</strong></span></h1>","publish","0","2017-07-06 11:58:01","1","open","SL0001","no","no","","1490","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00086-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00088.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00092.jpg","","Hahar","Collections > Casual|Collections|Collections > Office|Collections > Party","variable","","Gay|Gay > Shirt","Shirt","","White","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar8","858","<h1><span style=""color: #999999;"">ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</span></h1>","<h1><span style=""color: #999999;"">ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</span></h1>
<h1></h1>","publish","0","2017-07-06 12:00:28","1","open","TL0001","no","no","","490","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00110-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00110.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00113.jpg","","Hahar","Collections > Casual|Collections|Collections > Party","variable","","Gay|Gay > T-shirt","T-shirt","","Black","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar9","860","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>","publish","0","2017-07-06 12:02:44","1","open","","no","no","","390","","","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00114-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00115.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00119.jpg","","Hahar","Collections > Casual|Collections|Collections > Party","variable","","Gay|Gay > T-shirt","T-shirt","","Gray","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar10","862","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>","publish","0","2017-07-06 12:05:48","1","open","T0003","no","no","","390","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00129-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00131.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00132.jpg","","Hahar","Collections > Casual|Collections|Collections > Party|Collections > sport","variable","","Gay|Gay > T-shirt","T-shirt","","White","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar11","864","<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</strong></span></h1>","<h1><strong>ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</strong></h1>
&nbsp;","publish","0","2017-07-06 12:08:55","1","open","SL0002","no","no","","1490","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00152-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00159.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00164.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00166.jpg","","Hahar","Collections > Casual|Collections|Collections > Office","simple","","Gay|Gay > Shirt","Shirt","","Black","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
