ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,Visibility,"External Product URL","Total Sales","Attribute Name (pa_color)","Attribute Value (pa_color)","Attribute In Variations (pa_color)","Attribute Is Visible (pa_color)","Attribute Is Taxonomy (pa_color)","Attribute Name (pa_size)","Attribute Value (pa_size)","Attribute In Variations (pa_size)","Attribute Is Visible (pa_size)","Attribute Is Taxonomy (pa_size)","Shipping Class","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL",Brands,Collections,"Product Type",Tags,"Product categories","Product tags",Status,Author,Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating"
561,Hahar,"<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Dry-tech ผ้าเนื้อนิ่ม เหมาะกับอากาศเมืองไทย แห้งง่าย ระบายอากาศดี</strong></span></h1>","&nbsp;
<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Dry-tech ผ้าเนื้อนิ่ม เหมาะกับอากาศเมืองไทย แห้งง่าย ระบายอากาศดี</strong></span></h1>",2017-07-06,product,http://54.255.181.242/lagobe/product/hahar1/,0,P0001,590,590,,instock,,,,0,"Product [:en]color[:th]สี[:]",White,yes,yes,yes,"Product [:en]Size[:th]ขนาด[:]",Large|Medium|Small|X-Large,yes,yes,yes,,http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00005-4.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00012.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00007.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00012-1.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00005-1.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00005.jpg,|lagobe00012|lagobe00007|lagobe00012|lagobe00005|,|||||,|||||,|||||,,Hahar,Collections>Casual|Collections>Party,variable,,"Gay>Polo shirt|Gay>T-shirt","Polo shirt|T-shirt",publish,1,hahar1,,,0,0,open,closed,2017-07-14,no,no,,,500.,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,"564,563",a:0:{},"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",3.0.7,,a:0:{},0,0
837,Hahar,"<h1><span style=""color: #999999;"">Cotton 100% No.32  ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย  ไม่ขึ้นขุ่ย</span></h1>","<h1><strong><span style=""color: #999999;"">Cotton 100% No.32  ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย  ไม่ขึ้นขุ่ย</span></strong></h1>
<h1></h1>",2017-07-06,product,http://54.255.181.242/lagobe/product/hahar2/,0,T0004,,490,,instock,,,,0,"Product [:en]color[:th]สี[:]",Black,yes,yes,yes,"Product [:en]Size[:th]ขนาด[:]",Large|Medium|Small|X-Large,yes,yes,yes,,http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00015-1.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00022.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00024.jpg,||,||,||,||,,Hahar,Collections>Casual|Collections>Party,variable,,Gay>T-shirt,"Polo shirt|T-shirt",publish,1,hahar2,,,0,0,open,closed,2017-07-14,no,no,,,500.,,,,,,no,no,,,,,-1,-1,,,no,none,,"582,583",a:0:{},"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",3.0.7,,a:0:{},0,0
839,Hahar,"<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>
<h1><span style=""color: #999999;""><strong> </strong></span></h1>
<h1></h1>
&nbsp;","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>
<h1><span style=""color: #999999;""> </span></h1>
&nbsp;",2017-07-06,product,http://54.255.181.242/lagobe/product/hahar3/,0,T0005,,390,,instock,,,,0,"Product [:en]color[:th]สี[:]",White,yes,yes,yes,"Product [:en]Size[:th]ขนาด[:]",Large|Medium|Small|X-Large,yes,yes,yes,,http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00027-1.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00032.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00038.jpg,||,||,||,||,,Hahar,Collections>Casual|Collections>Party,variable,,Gay>T-shirt,T-shirt,publish,1,hahar3,,,0,0,open,closed,2017-07-14,no,no,,,500.,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,"585,586",a:0:{},"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",3.0.7,,a:0:{},0,0
841,Hahar,"<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>
&nbsp;","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>",2017-07-06,product,http://54.255.181.242/lagobe/product/hahar4/,0,T0007,490,490,,instock,,,,0,"Product [:en]color[:th]สี[:]",Gray,yes,yes,yes,"Product [:en]Size[:th]ขนาด[:]",Large|Medium|Small|X-Large,yes,yes,yes,,http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00049-1.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00054.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00051.jpg,||,||,||,||,,Hahar,Collections>Casual|Collections>Party,variable,,Gay>T-shirt,T-shirt,publish,1,hahar4,,,0,0,open,closed,2017-07-14,no,no,,,500.,,,,,,no,no,,,,,-1,-1,,,no,none,,"588,823",a:0:{},"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",3.0.7,,a:0:{},0,0
845,Hahar,"<h2><span style=""color: #999999;""><strong>ผลิตจากผ้า Dry-tech ผ้าเนื้อนิ่ม เหมาะกับอากาศเมืองไทย แห้งง่าย ระบายอากาศดี</strong></span></h2>","<h2><span style=""color: #999999;""><strong>ผลิตจากผ้า Dry-tech ผ้าเนื้อนิ่ม เหมาะกับอากาศเมืองไทย แห้งง่าย ระบายอากาศดี</strong></span></h2>",2017-07-06,product,http://54.255.181.242/lagobe/product/hahar6/,0,P0002,590,590,,instock,,,,0,"Product [:en]color[:th]สี[:]",Black,yes,yes,yes,"Product [:en]Size[:th]ขนาด[:]",Large|Medium|Small|X-Large,yes,yes,yes,,http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00071-2.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00075.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00076.jpg,||,||,||,||,,Hahar,Collections>Casual|Collections>Party|Collections>sport,variable,,Gay>T-shirt,T-shirt,publish,1,hahar6,,,0,0,open,closed,2017-07-14,no,no,,,,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,"593,594",a:0:{},"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",3.0.7,,a:0:{},0,0
854,Hahar,"<h1><span style=""color: #999999;""><strong>เสื้อเชิ้ตแขนสั้น ปกและแขนรัดโปโล แตกต่างอย่างลงตัว ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย</strong></span></h1>","<h1><span style=""color: #999999;""><strong>เสื้อเชิ้ตแขนสั้น ปกและแขนรัดโปโล แตกต่างอย่างลงตัว ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย</strong></span></h1>",2017-07-06,product,http://54.255.181.242/lagobe/product/hahar6-2/,0,SPS0001,1290,1290,,instock,,,,0,"Product [:en]color[:th]สี[:]",Blue,yes,yes,yes,"Product [:en]Size[:th]ขนาด[:]",Large|Medium|Small|X-Large,yes,yes,yes,,http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00079-1.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00083.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00085.jpg,||,||,||,||,,Hahar,Collections>Casual|Collections>Office|Collections>Party,variable,,Gay>Shirt,Shirt,publish,1,hahar6-2,,,0,0,open,closed,2017-07-14,no,no,,,500.,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,"596,597",a:0:{},"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",3.0.7,,a:0:{},0,0
856,Hahar,"<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</strong></span></h1>","<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</strong></span></h1>",2017-07-06,product,http://54.255.181.242/lagobe/product/hahar7/,0,SL0001,1490,1490,,instock,,,,0,"Product [:en]color[:th]สี[:]",White,yes,yes,yes,"Product [:en]Size[:th]ขนาด[:]",Large|Medium|Small|X-Large,yes,yes,yes,,http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00086-1.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00088.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00092.jpg,||,||,||,||,,Hahar,Collections>Casual|Collections>Office|Collections>Party,variable,,Gay>Shirt,Shirt,publish,1,hahar7,,,0,0,open,closed,2017-07-14,no,no,,,500,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,"599,600",a:0:{},"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",3.0.7,,a:0:{},0,0
858,Hahar,"<h1><span style=""color: #999999;"">ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</span></h1>
<h1></h1>","<h1><span style=""color: #999999;"">ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</span></h1>",2017-07-06,product,http://54.255.181.242/lagobe/product/hahar8/,0,TL0001,490,490,,instock,,,,0,"Product [:en]color[:th]สี[:]",Black,yes,yes,yes,"Product [:en]Size[:th]ขนาด[:]",Large|Medium|Small|X-Large,yes,yes,yes,,http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00110-1.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00110.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00113.jpg,||,||,||,||,,Hahar,Collections>Casual|Collections>Party,variable,,Gay>T-shirt,T-shirt,publish,1,hahar8,,,0,0,open,closed,2017-07-14,no,no,,,500,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,"602,603",a:0:{},"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",3.0.7,,a:0:{},0,0
860,Hahar,"<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>",2017-07-06,product,http://54.255.181.242/lagobe/product/hahar9/,0,,390,390,,instock,,,,0,"Product [:en]color[:th]สี[:]",Gray,yes,yes,yes,"Product [:en]Size[:th]ขนาด[:]",Large|Medium|Small|X-Large,yes,yes,yes,,http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00114-1.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00115.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00119.jpg,||,||,||,||,,Hahar,Collections>Casual|Collections>Party,variable,,Gay>T-shirt,T-shirt,publish,1,hahar9,,,0,0,open,closed,2017-07-14,no,no,,,,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,"605,606",a:0:{},"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",3.0.7,,a:0:{},0,0
862,Hahar,"<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>",2017-07-06,product,http://54.255.181.242/lagobe/product/hahar10/,0,T0003,390,390,,instock,,,,0,"Product [:en]color[:th]สี[:]",White,yes,yes,yes,"Product [:en]Size[:th]ขนาด[:]",Large|Medium|Small|X-Large,yes,yes,yes,,http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00129-1.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00131.jpg|http://54.255.181.242/lagobe/wp-content/uploads/2017/07/lagobe00132.jpg,||,||,||,||,,Hahar,Collections>Casual|Collections>Party|Collections>sport,variable,,Gay>T-shirt,T-shirt,publish,1,hahar10,,,0,0,open,closed,2017-07-14,no,no,,,500,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,"610,611",a:0:{},"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",3.0.7,,a:0:{},0,0
